Column1,Year of release,Duration Min,Rating,Genre.1,Genre.2,Genre.3,Director,Box office collection,Awards,Description,Streaming platform.1,Streaming platform.2,Duration Hrs,Rated By,Language
Maharaja,2024,150,8.6,Crime, Drama,,Nithilan Saminathan,975543,2,"A barber seeks vengeance after his home is burglarized, cryptically telling police his ""lakshmi"" has been taken, leaving them uncertain if it's a person or object. His quest to recover the e...  ",Netflix,,2.50,37000,Tamil
Manjummel Boys,2024,135,8.3,Comedy, Drama,,Chidambaram,3784106,0,"A group of friends get into a daring rescue mission to save their friend from Guna Caves, a perilously deep pit from where nobody has ever been brought back.",Not Available,,2.25,20000,Malayalam
Anbe Sivam,2003,160,8.6,Drama, Comedy,,Sundar C.,0,2,"Two men, one young and arrogant, the other damaged - physically but not spiritually - by life, are thrown together by circumstances, and find that they are in some ways bound together by fat...  ",Disney+ Hotstar,,2.67,26000,Tamil
The Goat Life,2024,173,8.0,Action, Drama,,Blessy,5138042,0,"An Indian man seeking work follows a job lead to Saudi Arabia, only to find himself forced to labor without pay as a goat herder in the remote desert.",Amazon Prime Video,,2.88,14000,Kannada
3 Idiots,2009,170,8.4,Comedy, Drama,,Rajkumar Hirani,60262836,64,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of t...  ",Netflix, Amazon Prime Video,2.83,441000,Hindi
Maidaan,2024,181,8.0,Sports, Drama, Biography,Amit Ravindernath Sharma,371226,0,"Inspired by the Indian national football team coach and manager Syed Abdul Rahim, who is regarded as the architect of Indian football.",Amazon Prime Video,,3.02,20000,Hindi
Black Friday,2004,143,8.4,Crime, Drama, Thriller,Anurag Kashyap,1610897,1,"A film about the investigations following the 1993 serial Bombay bomb blasts, told through the different stories of the people involved --police, conspirators, victims, middlemen.",YouTube,,2.38,22000,Hindi
12th Fail,2023,147,8.9,Drama, Biography,,Vidhu Vinod Chopra,138288,23,The real-life story of IPS Officer Manoj Kumar Sharma and IRS Officer Shraddha Joshi.,SonyLIV,,2.45,126000,Hindi
Laapataa Ladies,2023,122,8.4,Drama, Comedy,,Kiran Rao,108886,5,"The misadventures of two young brides who get lost from the same train. From mistaken identities to laugh-out-aloud escapades, the ensuing chaos guarantees laughter galore and heartwarming m...  ",Not Available,,2.03,39000,Hindi
2018,2023,150,8.3,Drama, Thriller,,Jude Anthany Joseph,4547765,3,A disaster film set during the 2018 Kerala Floods where people from all walks of life faced catastrophic consequences and put in collective efforts to survive the calamity.,SonyLIV,,2.50,13000,Malayalam
Viduthalai: Part 1,2023,150,8.3,Crime, Drama, Thriller,Vetrimaaran,5880,1,A police officer is recruited to capture the leader of a separatist group.,Zee5,,2.50,9000,Tamil
Like Stars on Earth,2007,162,8.3,Drama, Family,,Aamir Khan,21897373,28,"An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.",Netflix, Disney+ Hotstar,2.70,209000,Hindi
Chithha,2023,140,8.2,Drama, Family,,S.U. Arun Kumar,7664,7,"A man is raising his niece like his own daughter, and everything appears normal in their life until the little girl goes missing.",Not Available,,2.33,7700,Tamil
Hi Nanna,2023,155,8.2,Drama, Family,,S hour yuv,210780,6,A single father begins to narrate the story of the missing mother to his child and nothing remains the same.,Netflix,,2.58,17000,Telugu
Sirf Ek Bandaa Kaafi Hai,2023,132,8.0,Legal, Drama,,Apoorv Singh Karki,327,17,A common man with honesty and integrity can take on the system when he has truth on his side.,Zee5,,2.20,29000,Hindi
Saptha Sagaradaache Ello - Side A,2023,142,8.2,Drama, Romance,,Hemanth M. Rao,37253,6,"Manu and Priya hail from a middle-class background and fall in love. When circumstances land Manu in jail, his relationship with Priya is put in jeopardy.",Amazon Prime Video,,2.37,7700,Kannada
Por Thozhil,2023,147,8.0,Thriller, Drama,,Vignesh Raja,350534,1,A bright but faint-hearted rookie cop has to overcome his fears in order to succeed in his first case which sees him partnered with a reclusive senior officer to catch a serial killer on the...  ,SonyLIV,,2.45,10000,Tamil
Jigarthanda Double X,2023,172,8.0,Action, Crime, Drama,Karthik Subbaraj,279408,3,"In 1975, a filmmaker agrees to collaborate on a film with a gangster who wishes to become a famous actor.",Amazon Prime Video,,2.87,9900,Tamil
Rocketry: The Nambi Effect,2022,157,8.7,Biography, Drama,,Madhavan,398615,6,"The story of Indian Space Research Organization scientist Nambi Narayanan, who was framed for being a spy and arrested in 1994.",Amazon Prime Video,,2.62,59000,Hindi
777 Charlie,2022,164,8.7,Adventure, Drama,,Kiranraj K,7523995,3,Dharma is stuck in a rut with his negative and lonely lifestyle and spends each day in the comfort of his loneliness. A pup named Charlie enters his life and gives him a new perspective towa...  ,Voot, Amazon Prime Video,2.73,41000,Kannada
Sita Ramam,2022,163,8.5,Romance, Drama,,Hanu Raghavapudi,2208029,11,"An orphan soldier, Lieutenant Ram's life changes, after he gets a letter from a girl named Sita. He meets her and love blossoms between them. When he comes back to his camp in Kashmir,After ...  ",Amazon Prime Video, Hotstar,2.72,71000,Telugu
Jana Gana Mana,2022,162,8.3,Drama, Thriller,,Dijo Jose Antony,3135150,6,"As a college professor's brutal murder sparks student unrest, a cop launches an investigation while a lawyer seeks justice in the the courtroom.",Netflix,,2.70,18000,Malayalam
Vikram,2022,175,8.3,Action, Thriller,,Lokesh Kanagaraj,29837637,6,"A special investigator discovers a case of serial killings is not what it seems to be, and leading down this path is only going to end in a war between everyone involved.",Disney+ Hotstar,,2.92,76000,Tamil
Drishyam 2,2022,140,8.2,Thriller, Drama,,Abhishek Pathak,2973347,7,A gripping tale of an investigation and a family which is threatened by it. Will Vijay Salgaonkar be able to protect his family this time?,Amazon Prime Video,,2.33,46000,Malayalam
Kaun Pravin Tambe?,2022,134,8.3,Biography, Sports, Drama,Jayprad Desai,0,4,An indian cricketer who shows persistence and hardwork to achieve his ultimate goal of playing a Ranji Trophy. At the penultimate stage of the career at a age when it is believed people's ca...  ,Disney+ Hotstar,,2.23,11000,Hindi
Anniyan,2005,181,8.3,Action, Psychological Thriller,,S. Shankar,3373494,18,"Ramanujam, who suffers from multiple personality disorder, works as a lawyer by day and a vigilante at night, using tips from the 'Garuda Purana' as his tools to punish various antisocial el...  ",Amazon Prime Video,,3.02,22000,Tamil
Khosla Ka Ghosla!,2006,135,8.2,Comedy, Drama,,Dibakar Banerjee,40194,2,A Delhi-based retired middle-class man tries half-heartedly to get his land back from a swindling property dealer with the help of his sons and their friends.,Disney+ Hotstar,,2.25,25000,Hindi
Kantara,2022,148,8.2,Action, Drama, Fantasy,Rishab Shetty,2406221,21,"When greed paves the way for betrayal, scheming and murder, a young tribal reluctantly dons the traditions of his ancestors to seek justice.",Amazon Prime Video, Netflix,2.47,104000,Kannada
Nuvvu Naaku Nachchav,2001,184,8.8,Romance, Comedy,,Vijay K. Bhaskar,0,1,"Venkateswarlu, aka Venky, comes Hyderabad to his father's friend's house where he meets an engaged girl . Things turn upside down when she expresses her love for him .",Amazon Prime Video,,3.07,5700,Telugu
Gargi,2022,140,8.1,Drama, Legal,,Gautham Ramachandran,366674,6,The journey of a young school teacher to prove her father's innocence with the help of a juvenile advocate who's never even seen the interiors of a court hall.,SonyLIV,,2.33,7000,Tamil
K.G.F: Chapter 2,2022,166,8.2,Action, Drama,,Prashanth Neel,89123940,8,"In the blood-soaked Kolar Gold Fields, Rocky's name strikes fear into his foes, while the government sees him as a threat to law and order. Rocky must battle threats from all sides for uncha...  ",Amazon Prime Video, Netflix,2.77,152000,Kannada
Hridayam,2022,172,8.1,Romance, Drama,,Vineeth Sreenivasan,1740483,3,"The emotional journey of Arun, his carefree bachelor days in engineering college, and how he matures through various phases of life.",Disney+ Hotstar,,2.87,16000,Malayalam
Major,2022,150,8.1,Biography, Action, Drama,Sashi Kiran Tikka,4961424,3,"Based on the life of Major Sandeep Unnikrishnan, who was martyred in action during the November 2008 Mumbai attacks.",Netflix, SonyLIV,2.50,33000,Telugu
Love Today,2022,154,8.0,Romance, Comedy,,Pradeep Ranganathan,158787,3,"Two young lovers, who are made to exchange their phones for a day and what happens due to that.",Netflix,,2.57,16000,Tamil
Mukundan Unni Associates,2022,128,7.9,Satire, Drama,,Abhinav Sunder Nayak,44990,1,"Advocate Mukundan Unni, played by Vineeth Sreenivasan wants to be successful and leaves no stone unturned to achieve growth, prosperity, and respect. But this steadfast nature aided with an ...  ",Disney+ Hotstar,,2.13,6200,Malayalam
#Home,2021,158,8.8,Drama, Family,,Rojin Thomas,0,3,"Oliver Twist (Indrans) wants to be tech-savvy and become a better companion to his two sons, who spend more time on their phones than with their loved ones.",Amazon Prime Video,,2.63,16000,Malayalam
Drishyam 2,2021,152,8.4,Thriller, Drama,,Jeethu Joseph,3841,10,A gripping tale of an investigation and a family which is threatened by it. Will Georgekutty be able to protect his family this time?,Amazon Prime Video,,2.53,42000,Malayalam
Jai Bhim,2021,164,8.7,Drama, Legal,,T.J. Gnanavel,0,10,"When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice.",Amazon Prime Video,,2.73,219000,Tamil
Sarpatta Parambarai,2021,173,8.5,Sports, Drama,,Pa. Ranjith,0,10,"When Sarpatta Parambarai is challenged to a do-or-die match, will Kabilan, a young labourer, put on the gloves himself and lead his clan to victory, or be dissuaded by his disapproving mothe...  ",Amazon Prime Video,,2.88,26000,Tamil
Sardar Udham,2021,164,8.4,Biography, Drama, History,Shoojit Sircar,0,31,"A biopic detailing the 2 decades that Punjabi Sikh revolutionary, Udham Singh, spent planning the assassination of the man responsible for the Jallianwala Bagh massacre.",Amazon Prime Video,,2.73,48000,Hindi
Mandela,2021,140,8.4,Satire, Comedy, Drama,Madonne Ashwin,602410,5,A local barber's fate turns overnight when he becomes the single deciding vote in the village elections.,Netflix,,2.33,8600,Tamil
The Great Indian Kitchen,2021,100,8.1,Drama, Social,,Jeo Baby,0,9,"After marriage, a woman struggles to be the submissive wife that her husband and his family expect her to be. The story follows her journey, as she changes herself and, even more so, changes...  ",Amazon Prime Video,,1.67,10000,Malayalam
Shershaah,2021,135,8.3,Biography, War, Drama,Vishnuvardhan,0,50,"Shershaah is the story of PVC awardee Indian soldier Capt. Vikram Batra, whose bravery and unflinching courage in chasing the Pakistani soldiers out of Indian territory contributed immensely...  ",Amazon Prime Video,,2.25,131000,Hindi
Maanaadu,2021,147,8.2,Sci-Fi, Thriller,,Venkat Prabhu,565759,2,"On the day of a public conference by the state's Chief Minister, his bodyguard and a police officer are stuck in a time loop.",SonyLIV,,2.45,26000,Tamil
Nayattu,2021,124,8.1,Thriller, Political Drama,,Martin Prakkat,185586,2,"Three police officers who are on a run for life, escaping the outbreak against them due to the unlawful arrest and torture of a civilian. It brings in a few shades of arrogant yet very much ...  ",Netflix,,2.07,9100,Malayalam
Kannathil Muthamittal,2002,136,8.3,Drama, War, Family,Mani Ratnam,0,18,"A little girl is told by her parents that she is adopted. Determined to find her real mother, she begs to be taken to Sri Lanka, where her mother works with a militant group of activists.",Amazon Prime Video,,2.27,9300,Tamil
Hera Pheri,2000,156,8.2,Comedy,,,Priyadarshan,0,8,"Three unemployed men look for answers to all their money problems - but when their opportunity arrives, will they know what to do with it?",Amazon Prime Video, YouTube,2.60,73000,Hindi
Munna Bhai M.B.B.S.,2003,156,8.1,Comedy, Drama,,Rajkumar Hirani,3137716,25,A gangster sets out to fulfill his father's dream of becoming a doctor.,Netflix, Amazon Prime Video,2.60,89000,Hindi
Garuda Gamana Vrishabha Vahana,2021,151,8.3,Crime, Drama,,Raj B. Shetty,120482,3,"Set in the backdrop of the coastal and cultural city of modern-day Mangaluru, Hari and his soulmate Shiva rise together to great heights only to face off as bitter enemies resulting to their...  ",Zee5,,2.52,8400,Kannada
Swades,2004,189,8.2,Drama,,,Ashutosh Gowariker,1953889,18,A successful Indian scientist returns to an Indian village to take his nanny to America with him and in the process rediscovers his roots.,Netflix, Amazon Prime Video,3.15,99000,Hindi
Karnan,2021,158,8.0,Drama, Action,,Mari Selvaraj,3817585,3,"Karnan, a fearless village youth, must fight for the rights of the conservative people of his village, due to the torture given by a police officer.",Amazon Prime Video,,2.63,24000,Tamil
Malik,2021,162,8.0,Drama, Crime,,Mahesh Narayanan,3012048,7,"A past ridden with crime, death and pain is recounted to Freddy, a juvenile criminal, who has been assigned to eliminate his estranged uncle Sulaiman, an aging patriarch, while behind bars.",Amazon Prime Video,,2.70,14000,Malayalam
Soorarai Pottru,2020,153,8.7,Drama, Biography,,Sudha Kongara,1807229,23,"Nedumaaran Rajangam ""Maara"" sets out to make the common man fly and in the process takes on the world's most capital intensive industry and several enemies who stand in his way.",Amazon Prime Video,,2.55,125000,Tamil
Ayyappanum Koshiyum,2020,177,8.0,Action, Drama, Thriller,Sachy,5088713,17,"The story revolves around the clash between Ayyappan, a senior police officer who serves at the Attappadi Police Station and Havildar Koshi, who comes to the village with a motive.",Amazon Prime Video,,2.95,11000,Malayalam
Anjaam Pathiraa,2020,144,7.9,Thriller, Mystery,,Midhun Manuel Thomas,1106211,2,"The police are on the trail of a serial killer, but with the victims being fellow officers, will they be able to catch the killer and solve the case in time?",Sun NXT,,2.40,9300,Malayalam
Kumbalangi Nights,2019,135,8.5,Drama, Family,,Madhu C. Narayanan,1312005,13,"The film revolves around four brothers who share a love-hate relationship with each other. Their relationship progresses to another level when Saji, Boney, and Franky decide to help Bobby st...  ",Amazon Prime Video,,2.25,19000,Malayalam
Jersey,2019,157,8.5,Sports, Drama,,Gowtam Tinnanuri,204669,9,A failed cricketer decides to revive his cricketing career in his late 30's despite everyone being skeptical of his ability to do so.,Netflix,,2.62,23000,Telugu
Chak De! India,2007,153,8.1,Sports, Drama,,Shimit Amin,21505244,32,"Kabir Khan, the coach of the Indian Women's National Hockey Team, dreams of making his all-girls team emerge victorious against all odds.",Amazon Prime Video, Disney+ Hotstar,2.55,86000,Hindi
Black,2005,122,8.1,Drama,,,Sanjay Leela Bhansali,1266341,57,"Michelle, a disabled girl who can't see, hear, or speak, suffering in a world that has given up on her. But when the teacher Debraj enters her life, he becomes a ray of hope that she might p...  ",Amazon Prime Video,,2.03,36000,Hindi
Kaithi,2019,145,8.4,Action, Thriller,,Lokesh Kanagaraj,522938,15,"Dilli, an ex-convict, endeavours to meet his daughter for the first time after leaving prison. However, his attempts are interrupted due to a drug raid planned by Inspector Bejoy.",Disney+ Hotstar,,2.42,44000,Tamil
Aaranya Kaandam,2010,126,8.5,Neo-noir, Thriller,,Thiagarajan Kumararaja,843373,3,A mob boss must deal with a disgruntled mistress and a vanishing bag of cocaine.,Amazon Prime Video,,2.10,5500,Tamil
Asuran,2019,141,8.4,Drama, Action,,Vetrimaaran,379728,22,"The teenage son of a farmer from an underprivileged caste kills a rich, upper caste landlord. How the pacifist farmer saves his hot-blooded son is the rest of the story.",Amazon Prime Video,,2.35,34000,Tamil
Pudhu Pettai,2006,168,8.4,Crime, Drama,,K. Selvaraghavan,4652,1,"After running away from his home, Kumar falls in with a gang and slowly rises through the ranks of the criminal underworld.",Amazon Prime Video,,2.80,8100,Tamil
Lagaan: Once Upon a Time in India,2001,224,8.1,Sports, Drama, Period Film,Ashutosh Gowariker,1724806,54,The people of a small village in Victorian India stake their future on a game of cricket against their ruthless British rulers.,Netflix, Amazon Prime Video,3.73,122000,Hindi
Agent Sai Srinivasa Athreya,2019,148,8.3,Detective, Comedy, Thriller,Swaroop Rsj,4454,1,Agent Sai Srinivasa Athreya is an authentic humorous investigative thriller revolving around the adventures of a detective based out of Nellore.,Amazon Prime Video,,2.47,17000,Telugu
Super Deluxe,2019,176,8.2,Drama, Anthology,,Thiagarajan Kumararaja,273191,15,"An unfaithful newly-wed wife, an estranged father, a priest and an angry son suddenly find themselves in the most unexpected predicaments, each poised to experience their destiny, all on one...  ",Netflix,,2.93,18000,Tamil
Chhichhore,2019,143,8.3,Drama, Comedy,,Nitesh Tiwari,3311391,5,"A tragic incident forces Anirudh, a middle-aged man, to take a trip down memory lane and reminisce his college days along with his friends, who were labelled as losers.",Disney+ Hotstar,,2.38,65000,Hindi
Uri: The Surgical Strike,2019,138,8.2,War, Action, Drama,Aditya Dhar,39346577,20,"Indian army special forces execute a covert operation, avenging the killing of fellow army men at their base by a terrorist group.",Zee5,,2.30,73000,Hindi
Article 15,2019,130,8.1,Crime, Drama, Social,Anubhav Sinha,734514,22,"In the rural heartlands of India, an upright police officer sets out on a crusade against violent caste-based crimes and discrimination.",Netflix,,2.17,37000,Hindi
Section 375,2019,124,8.1,Legal, Drama, Thriller,Ajay Bahl,129916,7,"A celebrated Bollywood director Rohan Khurana stands accused by a female member of his crew, Anjali Dangle of having raped her at his residence.",Amazon Prime Video,,2.07,18000,Hindi
Thadam,2019,138,8.1,Crime, Thriller, Mystery,Magizh Thirumeni,96878,1,The murder of a youngster creates confusion among cops when they discover the suspect has a lookalike.,Amazon Prime Video,,2.30,9000,Tamil
Evaru,2019,118,8.1,Thriller, Mystery,,Venkat Ramji,62744,1,Sub-inspector Vikram Vasudev is entrusted with the task of investigating the murder of a high ranking officer who was killed by his alleged rape victim. When he delves deeper into the case h...  ,Amazon Prime Video,,1.97,7500,Telugu
Gully Boy,2019,154,7.9,Drama, Musical,,Zoya Akhtar,28299498,76,A coming-of-age story based on the lives of street rappers in Mumbai.,Amazon Prime Video, Zee5,2.57,44000,Hindi
Virumandi,2004,175,8.4,Action, Drama, Thriller,Kamal Haasan,5746386,1,A temperamental farmer gets embroiled in a bloody clan feud in a southern Tamil Nadu village.,Amazon Prime Video,,2.92,8000,Tamil
Udaan,2010,134,8.1,Coming-of-Age, Drama,,Vikramaditya Motwane,434862,23,"Expelled from his school, a 16-year old boy returns home to his abusive and oppressive father.",Netflix, Amazon Prime Video,2.23,48000,Hindi
The Legend of Bhagat Singh,2002,155,8.1,Biography, Historical Drama,,Rajkumar Santoshi,0,15,The story of a young revolutionary who raised an armed resistance against the British rule in India.,Disney+ Hotstar,,2.58,17000,Hindi
Android Kunjappan Ver 5.25,2019,140,8.0,Sci-Fi, Drama, Comedy,Ratheesh Balakrishnan Poduval,10230,6,"Story of a conventional, conservative small town villager and his son who has to move away from home due to his profession. Their relationship gets an endearing twist when an AI humanoid ent...  ",Amazon Prime Video,,2.33,7000,Malayalam
Super 30,2019,154,7.9,Biography, Drama,,Vikas Bahl,24701637,6,Based on the life of Patna-based mathematician Anand Kumar who runs the famed Super 30 program for IIT aspirants in Patna.,Zee5,,2.57,38000,Hindi
The Tashkent Files,2019,134,8.1,Thriller, Political Drama,,Vivek Agnihotri,71369,2,"Revolves around the mysterious death of India's 2nd Prime Minister Shri Lal Bahadur Shastri and attempts to uncover if he had actually died a natural death, or, as alleged, was assassinated.",Zee5,,2.23,36000,Hindi
Lage Raho Munna Bhai,2006,144,8.0,Comedy, Drama,,Rajkumar Hirani,17897527,29,Munna Bhai embarks on a journey with Mahatma Gandhi in order to fight against a corrupt property dealer.,Netflix, Amazon Prime Video,2.40,51000,Hindi
Pithamagan,2003,139,8.3,Drama, Action,,Bala,963855,10,"Chittan, a social outcast, has grown up in a cemetery. A drug dealer finds him a job in a cannabis farm. In prison, he meets a conman, Shakti. This friendship transforms him from his stony e...  ",Amazon Prime Video,,2.32,7600,Tamil
Iqbal,2005,132,8.1,Sports, Drama,,Nagesh Kukunoor,0,11,"Iqbal, the deaf and mute son of a farmer, has a passion for the game of cricket and seeks the tutelage of a washed-up, alcoholic ex-player.",Amazon Prime Video,,2.20,18000,Hindi
Rang De Basanti,2006,167,8.1,Drama, Historical, Social,Rakeysh Omprakash Mehra,10800778,49,"The story of six young Indians who assist an English woman to film a documentary on the freedom fighters from their past, and the events that lead them to relive the long-forgotten saga of f...  ",Netflix, Amazon Prime Video,2.78,123000,Hindi
Dil Chahta Hai,2001,183,8.1,Drama, Comedy, Romance,Farhan Akhtar,316221,28,"Three inseparable childhood friends are just out of college. Nothing comes between them - until they each fall in love, and their wildly different approaches to relationships creates tension...  ",Netflix,,3.05,76000,Hindi
A Wednesday,2008,104,8.1,Thriller, Drama,,Neeraj Pandey,3256911,11,A retiring police officer reminisces about the most astounding day of his career. About a case that was never filed but continues to haunt him in his memories - the case of a man and a Wedne...  ,Netflix,,1.73,83000,Hindi
Alai Payuthey,2000,156,8.3,Romance, Drama,,Mani Ratnam,4216867,4,"After a difficult romance in a class-divided society, the love birds find out marriage is not what they thought it would be.",Amazon Prime Video,,2.60,7500,Tamil
Bommarillu,2006,170,8.2,Romance, Family,,Bommarillu Baskar,0,5,A young man realizes that he has to push back against his domineering father if he wants to find true happiness and love.,Amazon Prime Video,,2.83,10000,Telugu
Omkara,2006,155,8.0,Crime, Drama, Adaptation,Vishal Bhardwaj,16466144,30,A politically-minded enforcer's misguided trust in his lieutenant leads him to suspect his wife of infidelity in this adaptation of Shakespeare's 'Othello'.,Amazon Prime Video, Disney+ Hotstar,2.58,22000,Hindi
Vikram Vedha,2017,147,8.2,Action, Crime, Thriller,Gayatri,546792,12,"Vikram, a no-nonsense police officer, accompanied by Simon, his partner, is on the hunt to capture Vedha, a smuggler and a murderer. Vedha tries to change Vikram's life, which leads to a con...  ",Disney+ Hotstar,,2.45,51000,Tamil
Theeran Adhigaram Ondru,2017,157,8.2,Action, Crime, Thriller,H. Vinoth,238484,3,"Theeran, a police officer, is entrusted with the task to solve the mystery behind a series of murders. The only clue left behind is that all the murders are committed in the same pattern.",Amazon Prime Video,,2.62,17000,Tamil
Maqbool,2003,132,8.0,Crime, Drama, Adaptation,Vishal Bhardwaj,0,10,The intrigue of the Shakespearean tragedy 'Macbeth' is transposed to the Mumbai underworld.,Amazon Prime Video,,2.20,12000,Hindi
Baahubali 2: The Conclusion,2017,167,8.2,Action, Fantasy, Drama,S.S. Rajamouli,254158390,29,"Amarendra Baahubali, the heir apparent to the throne of Mahishmati, finds his life and relationships endangered as his adoptive brother Bhallaladeva conspires to claim the throne.",Netflix, Amazon Prime Video,2.78,117000,Telugu
